,time,chlor_a,year,month,day,area,state
0,2002-07-04,1.32718611,2002,7,4,NORTE_SP,SP
1,2002-07-12,1.40111578,2002,7,12,NORTE_SP,SP
2,2002-07-20,1.45261121,2002,7,20,NORTE_SP,SP
3,2002-07-28,1.49423885,2002,7,28,NORTE_SP,SP
4,2002-08-05,2.27243638,2002,8,5,NORTE_SP,SP
5,2002-08-13,1.41655958,2002,8,13,NORTE_SP,SP
6,2002-08-21,1.60582459,2002,8,21,NORTE_SP,SP
7,2002-08-29,1.76645529,2002,8,29,NORTE_SP,SP
8,2002-09-06,0.57857269,2002,9,6,NORTE_SP,SP
9,2002-09-14,1.64261222,2002,9,14,NORTE_SP,SP
10,2002-09-22,1.23250997,2002,9,22,NORTE_SP,SP
11,2002-09-30,0.61727643,2002,9,30,NORTE_SP,SP
12,2002-10-08,0.583596945,2002,10,8,NORTE_SP,SP
13,2002-10-16,-32767.0,2002,10,16,NORTE_SP,SP
14,2002-10-24,0.459460407,2002,10,24,NORTE_SP,SP
15,2002-11-01,1.33719754,2002,11,1,NORTE_SP,SP
16,2002-11-09,1.72628856,2002,11,9,NORTE_SP,SP
17,2002-11-17,1.00976753,2002,11,17,NORTE_SP,SP
18,2002-11-25,0.488613546,2002,11,25,NORTE_SP,SP
19,2002-12-03,-32767.0,2002,12,3,NORTE_SP,SP
20,2002-12-11,0.971402287,2002,12,11,NORTE_SP,SP
21,2002-12-19,0.432458341,2002,12,19,NORTE_SP,SP
22,2002-12-27,0.702788532,2002,12,27,NORTE_SP,SP
23,2003-01-01,0.541405022,2003,1,1,NORTE_SP,SP
24,2003-01-09,0.755455613,2003,1,9,NORTE_SP,SP
25,2003-01-17,0.666048646,2003,1,17,NORTE_SP,SP
26,2003-01-25,1.52371478,2003,1,25,NORTE_SP,SP
27,2003-02-02,0.833163202,2003,2,2,NORTE_SP,SP
28,2003-02-10,0.593479812,2003,2,10,NORTE_SP,SP
29,2003-02-18,0.690554678,2003,2,18,NORTE_SP,SP
30,2003-02-26,0.73185271,2003,2,26,NORTE_SP,SP
31,2003-03-06,0.473401874,2003,3,6,NORTE_SP,SP
32,2003-03-14,0.722478986,2003,3,14,NORTE_SP,SP
33,2003-03-22,0.668203294,2003,3,22,NORTE_SP,SP
34,2003-03-30,1.0227946,2003,3,30,NORTE_SP,SP
35,2003-04-07,1.91153848,2003,4,7,NORTE_SP,SP
36,2003-04-15,1.63564527,2003,4,15,NORTE_SP,SP
37,2003-04-23,0.815009177,2003,4,23,NORTE_SP,SP
38,2003-05-01,2.09070039,2003,5,1,NORTE_SP,SP
39,2003-05-09,1.15099692,2003,5,9,NORTE_SP,SP
40,2003-05-17,1.16574037,2003,5,17,NORTE_SP,SP
41,2003-05-25,1.74117088,2003,5,25,NORTE_SP,SP
42,2003-06-02,1.46683824,2003,6,2,NORTE_SP,SP
43,2003-06-10,1.61369812,2003,6,10,NORTE_SP,SP
44,2003-06-18,1.47432458,2003,6,18,NORTE_SP,SP
45,2003-06-26,1.27223015,2003,6,26,NORTE_SP,SP
46,2003-07-04,1.54441178,2003,7,4,NORTE_SP,SP
47,2003-07-12,2.04863095,2003,7,12,NORTE_SP,SP
48,2003-07-20,1.4842633,2003,7,20,NORTE_SP,SP
49,2003-07-28,1.24653912,2003,7,28,NORTE_SP,SP
50,2003-08-05,1.39403415,2003,8,5,NORTE_SP,SP
51,2003-08-13,1.62906528,2003,8,13,NORTE_SP,SP
52,2003-08-21,1.31923068,2003,8,21,NORTE_SP,SP
53,2003-08-29,1.36263394,2003,8,29,NORTE_SP,SP
54,2003-09-06,1.28417373,2003,9,6,NORTE_SP,SP
55,2003-09-14,1.82075238,2003,9,14,NORTE_SP,SP
56,2003-09-22,0.957419515,2003,9,22,NORTE_SP,SP
57,2003-09-30,0.795267761,2003,9,30,NORTE_SP,SP
58,2003-10-08,0.943391144,2003,10,8,NORTE_SP,SP
59,2003-10-16,0.942730248,2003,10,16,NORTE_SP,SP
60,2003-10-24,0.657901704,2003,10,24,NORTE_SP,SP
61,2003-11-01,0.496895194,2003,11,1,NORTE_SP,SP
62,2003-11-09,1.01093745,2003,11,9,NORTE_SP,SP
63,2003-11-17,0.895769477,2003,11,17,NORTE_SP,SP
64,2003-11-25,0.377271056,2003,11,25,NORTE_SP,SP
