,time,sst,year,month,day,area,state
0,2002-07-04 00:55:01,22.3946533,2002,7,4,NORTE_SP,SP
1,2002-07-12 00:20:01,20.5223579,2002,7,12,NORTE_SP,SP
2,2002-07-20 00:55:01,21.3943043,2002,7,20,NORTE_SP,SP
3,2002-07-28 00:20:01,21.0474281,2002,7,28,NORTE_SP,SP
4,2002-08-06 15:17:05,21.4226971,2002,8,6,NORTE_SP,SP
5,2002-08-13 00:20:01,21.8403721,2002,8,13,NORTE_SP,SP
6,2002-08-21 00:55:01,21.9361191,2002,8,21,NORTE_SP,SP
7,2002-08-29 00:20:00,21.3635712,2002,8,29,NORTE_SP,SP
8,2002-09-06 00:35:01,20.5165672,2002,9,6,NORTE_SP,SP
9,2002-09-14 00:20:00,21.3577518,2002,9,14,NORTE_SP,SP
10,2002-09-22 00:35:01,20.8181229,2002,9,22,NORTE_SP,SP
11,2002-09-30 00:20:00,22.2129154,2002,9,30,NORTE_SP,SP
12,2002-10-08 00:35:01,24.2179356,2002,10,8,NORTE_SP,SP
13,2002-10-16 00:20:01,25.0846043,2002,10,16,NORTE_SP,SP
14,2002-10-24 00:35:01,24.3919621,2002,10,24,NORTE_SP,SP
15,2002-11-01 00:20:01,24.0996532,2002,11,1,NORTE_SP,SP
16,2002-11-09 00:35:01,22.8213673,2002,11,9,NORTE_SP,SP
17,2002-11-17 00:20:01,25.169075,2002,11,17,NORTE_SP,SP
18,2002-11-25 00:35:01,28.7672119,2002,11,25,NORTE_SP,SP
19,2002-12-03 00:20:01,26.0100002,2002,12,3,NORTE_SP,SP
20,2002-12-11 00:35:01,25.2985134,2002,12,11,NORTE_SP,SP
21,2002-12-19 00:20:01,24.5515976,2002,12,19,NORTE_SP,SP
22,2002-12-27 00:35:01,24.9327431,2002,12,27,NORTE_SP,SP
23,2003-01-01 00:50:01,27.1779461,2003,1,1,NORTE_SP,SP
24,2003-01-09 00:00:01,26.6900501,2003,1,9,NORTE_SP,SP
25,2003-01-17 00:50:01,26.5173359,2003,1,17,NORTE_SP,SP
26,2003-01-25 00:00:01,27.0516796,2003,1,25,NORTE_SP,SP
27,2003-02-02 00:00:01,28.8031807,2003,2,2,NORTE_SP,SP
28,2003-02-10 00:00:01,28.994276,2003,2,10,NORTE_SP,SP
29,2003-02-26 00:00:01,29.5311165,2003,2,26,NORTE_SP,SP
30,2003-03-06 00:00:01,30.006794,2003,3,6,NORTE_SP,SP
31,2003-03-14 00:00:01,28.3891621,2003,3,14,NORTE_SP,SP
32,2003-03-22 00:00:00,26.9999142,2003,3,22,NORTE_SP,SP
33,2003-03-30 00:05:00,26.8972073,2003,3,30,NORTE_SP,SP
34,2003-04-07 00:00:00,26.4211903,2003,4,7,NORTE_SP,SP
35,2003-04-15 00:35:00,26.0520554,2003,4,15,NORTE_SP,SP
36,2003-04-23 00:00:01,26.8046551,2003,4,23,NORTE_SP,SP
37,2003-05-01 00:35:00,24.9222298,2003,5,1,NORTE_SP,SP
38,2003-05-09 00:00:01,24.1185875,2003,5,9,NORTE_SP,SP
39,2003-05-17 00:35:00,24.8854542,2003,5,17,NORTE_SP,SP
40,2003-05-25 00:00:01,23.9641533,2003,5,25,NORTE_SP,SP
41,2003-06-02 00:35:01,23.9067078,2003,6,2,NORTE_SP,SP
42,2003-06-10 00:00:01,23.3015404,2003,6,10,NORTE_SP,SP
43,2003-06-18 00:35:01,23.1151943,2003,6,18,NORTE_SP,SP
44,2003-06-26 00:00:01,22.9360828,2003,6,26,NORTE_SP,SP
45,2003-07-04 00:35:01,23.3370953,2003,7,4,NORTE_SP,SP
46,2003-07-12 00:00:00,21.852993,2003,7,12,NORTE_SP,SP
47,2003-07-20 00:35:01,22.305481,2003,7,20,NORTE_SP,SP
48,2003-07-28 00:00:00,21.7494736,2003,7,28,NORTE_SP,SP
49,2003-08-05 00:35:00,21.5635967,2003,8,5,NORTE_SP,SP
50,2003-08-13 00:00:01,21.2589016,2003,8,13,NORTE_SP,SP
51,2003-08-21 00:35:00,22.1958218,2003,8,21,NORTE_SP,SP
52,2003-08-29 00:00:01,20.7411823,2003,8,29,NORTE_SP,SP
53,2003-09-06 00:35:01,22.023571,2003,9,6,NORTE_SP,SP
54,2003-09-14 00:00:01,21.0147915,2003,9,14,NORTE_SP,SP
55,2003-09-22 00:00:01,21.7781563,2003,9,22,NORTE_SP,SP
56,2003-09-30 00:00:01,22.2131195,2003,9,30,NORTE_SP,SP
57,2003-10-16 00:00:01,22.4681568,2003,10,16,NORTE_SP,SP
58,2003-10-24 00:00:00,23.2761955,2003,10,24,NORTE_SP,SP
59,2003-11-01 00:00:00,23.8631001,2003,11,1,NORTE_SP,SP
60,2003-11-09 00:00:00,24.6178837,2003,11,9,NORTE_SP,SP
61,2003-11-17 00:50:00,24.6790886,2003,11,17,NORTE_SP,SP
62,2003-11-25 00:05:00,25.5964584,2003,11,25,NORTE_SP,SP
63,2003-12-03 00:50:00,25.2317142,2003,12,3,NORTE_SP,SP
64,2003-12-11 00:05:00,26.0675812,2003,12,11,NORTE_SP,SP
65,2003-12-19 00:50:01,24.4831295,2003,12,19,NORTE_SP,SP
66,2003-12-27 00:05:00,24.6438236,2003,12,27,NORTE_SP,SP
67,2004-01-01 00:20:01,24.2210808,2004,1,1,NORTE_SP,SP
68,2004-01-09 00:10:01,24.9194603,2004,1,9,NORTE_SP,SP
69,2004-01-17 00:20:01,26.3562889,2004,1,17,NORTE_SP,SP
70,2004-01-25 00:10:01,26.5846634,2004,1,25,NORTE_SP,SP
71,2004-02-02 00:20:01,27.3329964,2004,2,2,NORTE_SP,SP
72,2004-02-10 00:10:01,25.4321213,2004,2,10,NORTE_SP,SP
73,2004-02-18 00:20:01,24.6579304,2004,2,18,NORTE_SP,SP
74,2004-02-26 00:10:01,25.5391083,2004,2,26,NORTE_SP,SP
75,2004-03-05 00:20:01,27.5309734,2004,3,5,NORTE_SP,SP
76,2004-03-13 00:10:01,25.4504604,2004,3,13,NORTE_SP,SP
77,2004-03-21 00:20:00,25.7654724,2004,3,21,NORTE_SP,SP
78,2004-03-29 00:10:01,26.6415005,2004,3,29,NORTE_SP,SP
79,2004-04-06 00:25:00,26.9841251,2004,4,6,NORTE_SP,SP
