,Year,Month,Area,Mean_temp,Mean_chla
0,2002,7,SP,20.193,1.32
1,2002,8,SP,20.946,1.76
2,2002,9,SP,21.097,1.293
3,2002,10,SP,24.209,0.848
4,2002,11,SP,25.099,1.245
5,2002,12,SP,25.888,0.963
6,2003,1,SP,27.478,1.026
7,2003,2,SP,29.423,1.645
8,2003,3,SP,27.701,1.056
9,2003,4,SP,26.116,1.641
10,2003,5,SP,23.939,1.581
11,2003,6,SP,22.622,1.507
12,2003,7,SP,21.547,1.854
13,2003,8,SP,20.833,1.591
14,2003,9,SP,21.325,1.364
15,2003,10,SP,22.84,1.259
16,2003,11,SP,24.325,0.971
17,2003,12,SP,25.646,0.504
18,2004,1,SP,26.181,0.905
19,2004,2,SP,26.402,1.606
20,2004,3,SP,26.369,1.039
21,2004,4,SP,26.127,1.427
22,2004,5,SP,23.245,1.769
23,2004,6,SP,21.651,1.861
24,2004,7,SP,21.361,1.695
25,2004,8,SP,21.367,1.595
26,2004,9,SP,22.205,1.251
27,2004,10,SP,22.712,0.752
28,2004,11,SP,23.307,1.154
29,2004,12,SP,25.191,2.011
30,2005,1,SP,25.815,1.385
31,2005,2,SP,26.26,1.244
32,2005,3,SP,27.371,0.853
33,2005,4,SP,27.229,1.364
34,2005,5,SP,24.981,1.635
35,2005,6,SP,23.891,1.541
36,2005,7,SP,22.354,1.484
37,2005,8,SP,22.151,1.399
38,2005,9,SP,20.216,1.603
39,2005,10,SP,22.015,0.694
40,2005,11,SP,23.432,1.469
41,2005,12,SP,24.828,0.78
42,2006,1,SP,26.581,0.834
43,2006,2,SP,27.987,1.62
44,2006,3,SP,27.666,1.343
45,2006,4,SP,25.943,2.341
46,2006,5,SP,23.421,1.992
47,2006,6,SP,22.228,1.908
48,2006,7,SP,22.082,1.512
49,2006,8,SP,22.152,1.508
50,2006,9,SP,21.522,1.455
51,2006,10,SP,22.59,1.039
52,2006,11,SP,23.965,0.89
53,2006,12,SP,24.901,0.616
54,2007,1,SP,25.285,0.887
55,2007,2,SP,28.012,1.21
56,2007,3,SP,28.518,1.004
57,2007,4,SP,26.604,1.08
58,2007,5,SP,23.682,1.75
59,2007,6,SP,21.486,1.646
60,2007,7,SP,19.129,2.243
61,2007,8,SP,19.017,3.675
62,2007,9,SP,21.459,1.238
63,2007,10,SP,22.666,1.088
64,2007,11,SP,23.808,0.735
65,2007,12,SP,26.413,0.704
66,2008,1,SP,26.338,0.804
67,2008,2,SP,26.415,1.602
68,2008,3,SP,25.889,1.451
69,2008,4,SP,24.124,1.74
70,2008,5,SP,23.147,2.406
71,2008,6,SP,21.812,2.207
72,2008,7,SP,21.386,1.288
73,2008,8,SP,21.655,1.798
74,2008,9,SP,21.44,0.998
75,2008,10,SP,21.891,1.107
76,2008,11,SP,22.579,1.372
77,2008,12,SP,24.023,1.088
78,2009,1,SP,25.764,1.085
79,2009,2,SP,27.802,1.656
80,2009,3,SP,27.764,1.967
81,2009,4,SP,26.153,1.655
82,2009,5,SP,24.381,1.619
83,2009,6,SP,21.869,1.38
84,2009,7,SP,20.663,2.139
85,2009,8,SP,21.272,2.559
86,2009,9,SP,21.573,1.804
87,2009,10,SP,22.457,1.636
88,2009,11,SP,26.786,1.688
89,2009,12,SP,26.403,0.75
90,2010,1,SP,28.689,1.567
91,2010,2,SP,29.363,1.7
92,2010,3,SP,27.469,1.5
93,2010,4,SP,25.603,2.512
94,2010,5,SP,23.577,1.78
95,2010,6,SP,21.852,1.968
96,2010,7,SP,21.679,1.635
97,2010,8,SP,20.274,2.467
98,2010,9,SP,21.001,0.96
99,2010,10,SP,22.025,0.929
100,2010,11,SP,23.899,0.666
101,2010,12,SP,26.017,1.156
102,2011,1,SP,28.39,1.133
103,2011,2,SP,28.794,1.289
104,2011,3,SP,25.615,1.43
105,2011,4,SP,25.922,1.904
106,2011,5,SP,23.116,1.468
107,2011,6,SP,21.398,1.659
108,2011,7,SP,20.257,1.66
109,2011,8,SP,20.535,1.999
110,2011,9,SP,20.742,1.487
111,2011,10,SP,22.604,1.56
