,Year,Area,Mean_temp,Mean_chla
0,2002,SP,22.849,1.378
1,2003,SP,24.408,1.34
2,2004,SP,23.868,1.438
3,2005,SP,24.194,1.303
4,2006,SP,24.253,1.418
5,2007,SP,23.805,1.689
6,2008,SP,23.332,1.487
7,2009,SP,24.412,1.666
8,2010,SP,24.308,1.577
9,2011,SP,23.668,1.439
10,2012,SP,24.017,1.441
11,2013,SP,23.742,1.441
12,2014,SP,24.566,1.566
13,2015,SP,24.846,1.42
14,2016,SP,23.947,2.208
15,2017,SP,24.267,1.444
16,2018,SP,24.425,1.33
17,2019,SP,25.135,1.867
18,2020,SP,24.641,1.173
19,2021,SP,24.162,1.363
20,2022,SP,23.955,1.491
21,2023,SP,24.906,1.388
22,2002,PR,22.154,1.956
23,2003,PR,23.747,1.981
24,2004,PR,23.375,2.209
25,2005,PR,23.741,1.984
26,2006,PR,23.948,1.967
27,2007,PR,23.47,2.934
28,2008,PR,23.219,2.365
29,2009,PR,23.882,2.342
30,2010,PR,23.409,2.32
31,2011,PR,23.323,2.445
32,2012,PR,23.839,2.198
33,2013,PR,23.177,2.306
34,2014,PR,24.297,1.967
35,2015,PR,24.382,2.624
36,2016,PR,23.27,3.55
37,2017,PR,24.372,1.999
38,2018,PR,24.068,2.049
39,2019,PR,24.396,2.524
40,2020,PR,24.049,2.062
41,2021,PR,23.887,2.177
42,2022,PR,23.451,2.816
43,2023,PR,24.363,2.804
44,2002,SC,20.246,2.56
45,2003,SC,21.804,1.985
46,2004,SC,21.537,1.58
47,2005,SC,21.966,1.73
48,2006,SC,21.84,1.777
49,2007,SC,21.448,2.949
50,2008,SC,21.3,2.063
51,2009,SC,21.829,1.894
52,2010,SC,21.919,1.866
53,2011,SC,21.24,2.05
54,2012,SC,21.762,2.166
55,2013,SC,21.445,2.246
56,2014,SC,22.238,1.933
57,2015,SC,22.218,2.004
58,2016,SC,21.401,4.022
59,2017,SC,22.567,1.776
60,2018,SC,22.145,2.114
61,2019,SC,22.439,2.13
62,2020,SC,22.032,1.773
63,2021,SC,21.938,1.781
64,2022,SC,21.516,3.176
65,2023,SC,22.576,2.142
66,2002,APA,20.074,2.287
67,2003,APA,21.671,1.754
68,2004,APA,21.512,1.367
69,2005,APA,21.847,1.451
70,2006,APA,21.664,1.504
71,2007,APA,21.241,2.724
72,2008,APA,21.164,1.679
73,2009,APA,21.652,1.572
74,2010,APA,21.766,1.442
75,2011,APA,21.096,1.555
76,2012,APA,21.459,2.048
77,2013,APA,21.358,2.055
78,2014,APA,21.888,1.829
79,2015,APA,22.033,1.521
80,2016,APA,21.291,3.503
81,2017,APA,22.321,1.418
82,2018,APA,21.976,1.848
83,2019,APA,22.318,1.806
84,2020,APA,21.854,1.436
85,2021,APA,21.759,1.426
86,2022,APA,21.401,2.367
87,2023,APA,22.384,1.551
