,Year,Month,Area,Mean,Median,Minimum,Maximum,Q1,Q3,Lower Outliers,Upper Outliers
0,2002,7,SP,1.32,1.397,0.87,1.553,1.19,1.46,[],[]
1,2002,8,SP,1.76,1.668,1.417,2.272,1.56,1.932,[],[]
2,2002,9,SP,1.293,1.309,0.579,2.324,0.803,1.679,[],[]
3,2002,10,SP,0.848,0.642,0.454,1.007,0.49,0.93,[],[1.884]
4,2002,11,SP,1.245,1.137,0.216,2.315,0.917,1.697,[],[]
5,2002,12,SP,0.963,1.002,0.248,1.784,0.586,1.282,[],[]
6,2003,1,SP,1.026,1.006,0.335,1.637,0.649,1.455,[],[]
7,2003,2,SP,1.645,1.383,0.593,2.891,0.808,1.996,[],[4.306]
8,2003,3,SP,1.056,0.896,0.456,1.898,0.638,1.293,[],[2.31]
9,2003,4,SP,1.641,1.636,0.815,2.321,1.408,1.912,[],[]
10,2003,5,SP,1.581,1.5,1.151,2.171,1.21,1.915,[],[]
11,2003,6,SP,1.507,1.523,1.12,1.824,1.376,1.638,[],[]
12,2003,7,SP,1.854,1.89,1.247,2.345,1.54,2.107,[],[]
13,2003,8,SP,1.591,1.64,1.083,1.995,1.386,1.767,[],[]
14,2003,9,SP,1.364,1.378,0.707,1.821,1.18,1.528,[],[2.136]
15,2003,10,SP,1.259,1.012,0.658,1.908,0.943,1.697,[],[]
16,2003,11,SP,0.971,0.905,0.212,1.719,0.467,1.144,[],[2.593]
17,2003,12,SP,0.504,0.488,0.234,0.859,0.37,0.61,[],[]
18,2004,1,SP,0.905,0.692,0.374,1.099,0.595,0.94,[],[2.736]
19,2004,2,SP,1.606,1.587,0.531,3.143,0.952,2.092,[],[]
20,2004,3,SP,1.039,0.968,0.527,1.82,0.734,1.297,[],[]
21,2004,4,SP,1.427,1.3,0.548,2.327,1.036,1.868,[],[]
22,2004,5,SP,1.769,1.749,1.256,2.103,1.565,1.843,[],[2.368]
23,2004,6,SP,1.861,1.768,1.069,2.517,1.594,2.166,[],[]
24,2004,7,SP,1.695,1.683,1.087,2.213,1.367,2.041,[],[]
25,2004,8,SP,1.595,1.562,1.184,1.956,1.344,1.712,[],[2.425]
26,2004,9,SP,1.251,1.265,0.744,1.556,1.096,1.381,[],[1.835]
27,2004,10,SP,0.752,0.735,0.18,1.485,0.357,1.01,[],[]
28,2004,11,SP,1.154,1.22,0.951,1.356,0.987,1.268,[],[]
29,2004,12,SP,2.011,1.124,0.312,3.542,0.854,2.656,[],[7.387]
30,2005,1,SP,1.385,1.227,0.478,2.812,0.607,1.642,[],[]
31,2005,2,SP,1.244,1.132,0.418,2.555,0.683,1.608,[],[]
32,2005,3,SP,0.853,0.854,0.428,1.016,0.639,0.962,[],[1.751]
33,2005,4,SP,1.364,1.343,0.758,1.905,0.927,1.878,[],[]
34,2005,5,SP,1.635,1.645,0.489,2.536,1.247,2.148,[],[]
35,2005,6,SP,1.541,1.334,1.037,1.944,1.241,1.703,[],[2.842]
36,2005,7,SP,1.484,1.375,0.924,2.494,1.129,1.693,[],[]
37,2005,8,SP,1.399,1.261,0.954,2.047,1.119,1.51,[],[2.153]
38,2005,9,SP,1.603,0.915,0.479,1.945,0.815,1.286,[],[7.158]
39,2005,10,SP,0.694,0.531,0.45,1.181,0.499,0.849,[],[]
40,2005,11,SP,1.469,1.215,0.54,2.994,0.96,1.946,[],[]
41,2005,12,SP,0.78,0.878,0.327,1.206,0.609,0.915,[],[]
