,Year,Area,Mean,Median,Minimum,Maximum,Q1,Q3,Lower Outliers,Upper Outliers
0,2002,SP,1.378,1.377,0.216,2.324,0.971,1.655,[],[8.244]
1,2003,SP,1.34,1.378,0.212,2.891,0.829,1.734,[],[4.306]
2,2004,SP,1.438,1.336,0.18,2.824,0.962,1.776,[],"[3.143, 3.542, 7.387]"
3,2005,SP,1.303,1.136,0.327,2.842,0.841,1.642,[],"[7.158, 2.994]"
4,2006,SP,1.418,1.428,0.211,2.948,0.871,1.81,[],"[3.345, 4.424, 4.261]"
5,2007,SP,1.689,1.218,0.251,2.745,0.939,1.734,[],"[6.956, 3.193, 3.17, 14.596, 3.326, 8.028, 3.554, 3.133, 4.283, 18.595, 6.977]"
6,2008,SP,1.487,1.381,0.156,2.957,1.024,1.797,[],"[3.503, 3.589, 3.13, 3.758, 4.354, 3.554]"
7,2009,SP,1.666,1.501,0.164,3.543,0.916,2.034,[],"[4.988, 4.969, 4.928, 4.575, 3.715, 3.799]"
8,2010,SP,1.577,1.55,0.176,3.547,0.875,1.979,[],"[3.769, 3.934, 4.096, 7.48]"
9,2011,SP,1.439,1.381,0.239,2.822,1.073,1.786,[],[3.913]
10,2012,SP,1.441,1.264,0.22,2.922,0.872,1.739,[],"[3.385, 3.485, 6.004, 5.679, 3.962, 3.979, 3.461]"
11,2013,SP,1.441,1.356,0.194,2.611,1.023,1.779,[],"[3.771, 5.059, 3.556, 2.985, 3.262]"
12,2014,SP,1.566,1.446,0.166,3.025,1.091,1.906,[],"[3.322, 3.584, 4.127, 4.482, 4.239]"
13,2015,SP,1.42,1.438,0.208,2.705,0.875,1.866,[],"[3.479, 3.438, 4.1, 3.721]"
14,2016,SP,2.208,1.674,0.231,4.428,1.119,2.61,[],"[10.058, 5.474, 9.441, 9.546, 10.796, 5.205, 6.81, 5.315, 8.545, 5.19]"
15,2017,SP,1.444,1.363,0.168,3.12,1.016,1.924,[],[3.876]
16,2018,SP,1.33,1.344,0.205,2.798,0.939,1.683,[],"[2.809, 3.138, 2.852]"
17,2019,SP,1.867,1.626,0.251,4.124,1.1,2.313,[],"[5.243, 7.751, 5.8, 5.75, 5.818]"
18,2020,SP,1.173,1.115,0.159,2.498,0.781,1.506,[],"[2.736, 2.908, 2.867, 3.325]"
19,2021,SP,1.363,1.306,0.198,2.87,0.905,1.711,[],"[3.041, 3.63, 3.507, 3.612]"
20,2022,SP,1.491,1.35,0.357,3.235,0.897,1.895,[],"[4.02, 4.538]"
