,Year,Month,Area,Mean,Median,Minimum,Maximum,Q1,Q3,Lower Outliers,Upper Outliers
0,2002,7,SP,20.193,19.901,18.815,22.395,19.384,20.819,[],[]
1,2002,8,SP,20.946,21.095,20.095,21.936,20.615,21.438,[19.291],[]
2,2002,9,SP,21.097,21.009,19.506,22.213,20.655,21.461,[],[22.866]
3,2002,10,SP,24.209,24.218,23.443,25.085,23.902,24.392,[],[]
4,2002,11,SP,25.099,24.879,22.821,28.767,23.664,26.145,[],[]
5,2002,12,SP,25.888,25.955,24.552,27.453,25.286,26.324,[],[]
6,2003,1,SP,27.478,27.2,26.517,29.501,26.689,27.839,[],[]
7,2003,2,SP,29.423,29.281,28.803,29.531,29.239,29.531,[],"[30.301, 30.048]"
8,2003,3,SP,27.701,27.534,25.839,30.007,26.889,28.389,[],[]
9,2003,4,SP,26.116,26.052,25.37,26.805,25.811,26.421,[],[]
10,2003,5,SP,23.939,23.955,22.529,24.922,23.453,24.395,[],[]
11,2003,6,SP,22.622,22.574,21.599,23.907,22.112,23.162,[],[]
12,2003,7,SP,21.547,21.631,19.958,23.337,21.022,21.966,[],[]
13,2003,8,SP,20.833,20.824,19.355,22.196,20.41,21.335,[],[]
14,2003,9,SP,21.325,21.353,20.267,22.213,20.717,22.004,[],[]
15,2003,10,SP,22.84,22.884,21.912,23.617,22.536,23.214,[],[]
16,2003,11,SP,24.325,24.57,23.863,25.596,24.156,24.824,"[22.898, 22.111]",[]
17,2003,12,SP,25.646,25.429,24.483,27.175,25.008,26.243,[],[]
18,2004,1,SP,26.181,26.302,24.221,28.163,24.932,26.587,[],[29.201]
19,2004,2,SP,26.402,26.439,24.658,28.468,25.512,27.37,[],[]
20,2004,3,SP,26.369,26.175,25.45,27.531,25.954,26.757,[],[]
21,2004,4,SP,26.127,25.932,24.862,27.774,25.025,27.064,[],[]
22,2004,5,SP,23.245,23.45,21.839,24.161,22.57,23.883,[],[]
23,2004,6,SP,21.651,21.751,20.159,23.143,21.035,21.957,[],[]
24,2004,7,SP,21.361,21.082,19.717,23.715,20.329,22.337,[],[]
25,2004,8,SP,21.367,21.263,20.693,22.218,21.045,21.674,[],[]
26,2004,9,SP,22.205,21.994,21.315,23.37,21.759,22.657,[],[]
27,2004,10,SP,22.712,22.688,22.093,23.27,22.408,22.904,[21.374],[24.497]
28,2004,11,SP,23.307,23.318,22.411,24.463,22.842,23.801,[],[]
29,2004,12,SP,25.191,25.508,22.731,26.916,24.562,25.917,[],[]
30,2005,1,SP,25.815,26.102,24.291,27.656,24.772,26.49,[],[]
31,2005,2,SP,26.26,26.545,24.497,27.945,25.108,27.273,[],[]
32,2005,3,SP,27.371,27.298,26.826,27.911,27.092,27.664,[],[]
33,2005,4,SP,27.229,27.575,25.328,27.897,26.808,27.829,[],[]
34,2005,5,SP,24.981,24.949,23.714,26.167,24.487,25.492,[],[]
35,2005,6,SP,23.891,23.816,23.081,24.731,23.229,24.553,[],[]
36,2005,7,SP,22.354,22.391,20.604,23.778,21.922,23.014,[],[]
37,2005,8,SP,22.151,22.108,20.735,23.79,21.614,22.734,[],[]
38,2005,9,SP,20.216,20.201,18.776,21.556,19.411,20.853,[],[]
39,2005,10,SP,22.015,22.079,20.559,23.326,20.904,23.077,[],[]
40,2005,11,SP,23.432,23.173,22.637,23.994,23.098,23.664,[],[25.004]
41,2005,12,SP,24.828,24.8,23.015,26.431,24.018,25.667,[],[]
42,2006,1,SP,26.581,26.125,25.21,28.791,25.698,27.291,[],[]
43,2006,2,SP,27.987,28.391,26.015,29.137,27.488,28.748,[],[]
44,2006,3,SP,27.666,28.02,26.356,28.787,27.378,28.114,[26.022],[]
45,2006,4,SP,25.943,25.659,25.395,26.907,25.52,26.511,[],[]
46,2006,5,SP,23.421,23.405,21.639,25.029,22.688,24.029,[],[]
47,2006,6,SP,22.228,22.313,20.81,23.407,21.823,22.713,[],[]
48,2006,7,SP,22.082,22.14,20.943,23.044,21.701,22.573,[],[]
49,2006,8,SP,22.152,22.003,20.523,23.198,21.689,22.621,[],[24.539]
50,2006,9,SP,21.522,21.328,20.275,22.836,20.994,22.045,[],[]
51,2006,10,SP,22.59,22.419,22.011,23.039,22.214,22.896,[],[23.971]
52,2006,11,SP,23.965,23.942,22.692,25.105,23.515,24.527,[],[]
53,2006,12,SP,24.901,24.252,23.419,27.161,24.049,25.802,[],[]
54,2007,1,SP,25.285,25.869,21.958,27.201,24.274,26.592,[],[]
55,2007,2,SP,28.012,28.226,27.064,28.845,27.483,28.438,[],[]
56,2007,3,SP,28.518,28.404,28.109,29.12,28.236,28.616,[],[29.403]
57,2007,4,SP,26.604,26.569,26.221,26.959,26.426,26.84,[],[]
58,2007,5,SP,23.682,23.573,22.042,25.577,22.738,24.166,[],[]
59,2007,6,SP,21.486,21.377,19.791,22.986,20.906,22.151,[],[]
60,2007,7,SP,19.129,18.571,17.294,22.182,17.633,20.336,[],[]
61,2007,8,SP,19.017,19.027,17.596,20.826,18.433,19.707,[],[]
62,2007,9,SP,21.459,21.392,20.496,22.513,21.094,21.888,[],[]
63,2007,10,SP,22.666,22.462,21.536,24.166,22.316,23.128,[],[]
64,2007,11,SP,23.808,24.062,23.14,24.964,23.512,24.183,[21.851],[]
65,2007,12,SP,26.413,26.038,24.263,28.442,25.514,27.565,[],[]
66,2008,1,SP,26.338,27.373,23.039,28.11,24.575,27.964,[],[]
67,2008,2,SP,26.415,26.532,25.889,28.21,26.034,27.048,"[24.225, 24.403]",[]
68,2008,3,SP,25.889,25.836,24.884,26.59,25.556,26.299,[],[]
69,2008,4,SP,24.124,24.378,22.492,25.505,23.427,24.706,[],[]
70,2008,5,SP,23.147,23.205,22.616,23.687,22.842,23.401,[],[]
71,2008,6,SP,21.812,22.015,20.35,23.174,21.173,22.448,[],[]
72,2008,7,SP,21.386,21.36,20.282,22.231,20.928,21.924,[],[]
73,2008,8,SP,21.655,21.65,20.563,22.86,21.221,21.96,[],[]
74,2008,9,SP,21.44,21.597,20.232,22.018,21.093,21.793,[],[23.073]
75,2008,10,SP,21.891,21.873,20.218,23.317,21.246,22.716,[],[]
76,2008,11,SP,22.579,23.201,19.875,24.213,21.732,23.605,[],[]
77,2008,12,SP,24.023,24.09,21.601,26.368,22.494,25.931,[],[]
78,2009,1,SP,25.764,26.151,24.396,27.691,24.65,26.491,[],[]
79,2009,2,SP,27.802,27.634,27.266,28.741,27.32,28.157,[],[]
80,2009,3,SP,27.764,27.8,27.042,28.505,27.332,28.32,[],[]
81,2009,4,SP,26.153,26.333,25.009,27.033,25.568,26.589,[],[]
82,2009,5,SP,24.381,24.323,23.44,25.503,23.843,24.805,[],[]
83,2009,6,SP,21.869,21.916,20.618,23.066,21.291,22.291,[],[]
84,2009,7,SP,20.663,20.577,18.806,22.885,20.034,21.362,[],[]
85,2009,8,SP,21.272,21.188,19.523,22.853,20.62,21.89,[],[]
86,2009,9,SP,21.573,21.506,20.286,22.907,20.932,22.01,[],[]
87,2009,10,SP,22.457,22.167,20.848,24.341,21.344,23.717,[],[]
88,2009,11,SP,26.786,26.807,25.891,27.857,26.424,27.131,[],[]
89,2009,12,SP,26.403,26.312,24.641,28.541,25.349,27.209,[],[]
90,2010,1,SP,28.689,29.153,26.499,29.584,28.078,29.536,[],[]
91,2010,2,SP,29.363,30.078,25.316,31.415,28.062,31.03,[],[]
92,2010,3,SP,27.469,27.226,26.511,29.151,26.96,28.135,[],[]
93,2010,4,SP,25.603,25.641,24.365,26.666,25.079,26.182,[],[]
94,2010,5,SP,23.577,23.538,21.725,25.635,22.645,24.622,[],[]
95,2010,6,SP,21.852,21.986,20.995,22.593,21.357,22.303,[],[]
96,2010,7,SP,21.679,21.74,20.665,22.43,21.402,21.983,[20.372],[22.909]
97,2010,8,SP,20.274,20.471,18.364,22.032,19.706,20.815,[],[]
98,2010,9,SP,21.001,20.918,19.805,22.569,20.446,21.651,[],[]
99,2010,10,SP,22.025,22.348,20.74,22.676,21.429,22.527,[],[]
100,2010,11,SP,23.899,23.793,23.371,24.542,23.632,24.185,[],[]
101,2010,12,SP,26.017,26.107,24.975,27.013,25.371,26.61,[],[]
102,2011,1,SP,28.39,28.441,27.17,30.132,27.803,28.836,[],[]
103,2011,2,SP,28.794,29.442,25.105,31.309,27.895,30.086,[],[]
104,2011,3,SP,25.615,25.803,24.391,26.423,25.017,26.146,[],[]
105,2011,4,SP,25.922,26.073,24.157,27.147,25.379,26.65,[],[]
106,2011,5,SP,23.116,23.204,21.684,24.392,22.576,23.721,[],[]
107,2011,6,SP,21.398,21.347,20.872,22.205,21.237,21.804,[20.355],[]
108,2011,7,SP,20.257,20.269,19.238,21.296,19.854,20.583,[],[]
109,2011,8,SP,20.535,20.399,19.396,22.067,19.815,21.059,[],[]
110,2011,9,SP,20.742,20.52,19.963,22.105,20.231,21.198,[],[]
111,2011,10,SP,22.604,22.723,21.593,23.444,21.989,23.234,[],[]
112,2011,11,SP,22.564,22.629,21.358,24.114,21.779,23.184,[],[]
113,2011,12,SP,24.866,24.603,22.163,27.489,24.186,25.846,[],[]
114,2012,1,SP,26.086,25.967,25.007,27.115,25.598,26.532,[],[]
115,2012,2,SP,27.185,26.694,26.087,29.177,26.424,27.789,[],[]
116,2012,3,SP,25.49,25.506,24.264,26.75,24.948,26.032,[],[]
