,Year,Area,Mean,Median,Minimum,Maximum,Q1,Q3,Lower Outliers,Upper Outliers
0,2002,SP,22.849,22.395,18.815,28.767,20.793,24.933,[],[]
1,2003,SP,24.408,24.243,19.355,30.301,22.068,26.606,[],[]
2,2004,SP,23.868,23.533,19.717,29.201,21.941,25.815,[],[]
3,2005,SP,24.194,24.128,18.776,27.945,22.689,26.166,[],[]
4,2006,SP,24.253,23.715,20.275,29.137,22.272,26.054,[],[]
5,2007,SP,23.805,23.787,17.294,29.403,21.37,26.812,[],[]
6,2008,SP,23.332,22.847,19.875,28.21,21.634,24.948,[],[]
7,2009,SP,24.412,24.678,18.806,28.741,21.815,27.019,[],[]
8,2010,SP,24.308,23.702,18.364,31.415,21.678,26.624,[],[]
9,2011,SP,23.668,22.967,19.238,31.309,21.291,26.096,[],[]
10,2012,SP,24.017,24.187,19.418,29.177,22.096,25.917,[],[]
11,2013,SP,23.742,23.666,17.598,31.08,21.542,25.961,[],[]
12,2014,SP,24.566,24.124,20.401,30.929,22.125,26.605,[],[]
13,2015,SP,24.846,23.861,20.358,30.066,22.703,27.384,[],[]
14,2016,SP,23.947,24.07,16.693,29.537,21.18,26.992,[],[]
15,2017,SP,24.267,23.83,20.043,29.683,22.2,26.168,[],[]
16,2018,SP,24.425,24.082,18.673,29.803,22.219,27.476,[],[]
17,2019,SP,25.135,24.559,19.223,31.538,22.688,27.679,[],[]
18,2020,SP,24.641,24.509,20.699,28.468,23.089,26.233,[],[]
19,2021,SP,24.162,23.404,19.381,30.19,21.6,27.011,[],[]
20,2022,SP,23.955,23.829,19.454,29.823,21.541,26.688,[],[]
21,2023,SP,24.906,24.362,20.422,29.218,23.084,27.081,[],[]
22,2002,PR,22.154,22.064,18.557,26.601,19.187,24.465,[],[]
23,2003,PR,23.747,23.232,19.037,29.571,21.047,26.133,[],[]
24,2004,PR,23.375,23.186,18.842,28.577,20.86,26.112,[],[]
25,2005,PR,23.741,23.981,18.675,27.851,21.012,26.608,[],[]
26,2006,PR,23.948,23.504,19.848,28.665,21.231,26.689,[],[]
